a_Last1_chunk_bitrate,a_Last1_buffer_size,a_Last8_throughput,a_Last7_throughput,a_Last6_throughput,a_Last5_throughput,a_Last4_throughput,a_Last3_throughput,a_Last2_throughput,a_Last1_throughput,a_Last8_downloadtime,a_Last7_downloadtime,a_Last6_downloadtime,a_Last5_downloadtime,a_Last4_downloadtime,a_Last3_downloadtime,a_Last2_downloadtime,a_Last1_downloadtime,a_chunksize1,a_chunksize2,a_chunksize3,a_chunksize4,a_chunksize5,a_chunksize6,a_Chunks_left,a_br
0.1744186046511628,0.0,,,,0.9791666666666666,750
0.1744186046511628,0.4,0.002,2.323,0.44,0.9583333333333334,300
0.06976744186046512,0.6922109830622425,0.002,0.001,2.323,1.078,0.44,0.15,0.9375,300
0.06976744186046512,0.9401161378798435,0.002,0.001,0.001,2.323,1.078,1.521,0.44,0.15,0.14,0.9166666666666666,300
0.06976744186046512,1.1935415881617908,0.002,0.001,0.001,0.001,2.323,1.078,1.521,1.466,0.44,0.15,0.14,0.15,0.8958333333333334,300
0.06976744186046512,1.457307803805945,0.002,0.001,0.001,0.001,0.001,2.323,1.078,1.521,1.466,1.362,0.44,0.15,0.14,0.15,0.16,0.875,750
0.1744186046511628,1.6315831891804007,0.002,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,1.466,1.362,2.257,0.44,0.15,0.14,0.15,0.16,0.31,0.8541666666666666,750
0.1744186046511628,1.79066686848401,0.002,0.001,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,1.466,1.362,2.257,2.409,0.15,0.14,0.15,0.16,0.31,0.34,0.8333333333333334,750
0.1744186046511628,1.9098686478935492,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,1.466,1.362,2.257,2.409,2.808,0.14,0.15,0.16,0.31,0.34,0.43,0.8125,750
0.1744186046511628,2.0607272137739168,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.078,1.521,1.466,1.362,2.257,2.409,2.808,2.491,0.15,0.16,0.31,0.34,0.43,0.37,0.7916666666666666,750
0.1744186046511628,2.1951171356447223,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.521,1.466,1.362,2.257,2.409,2.808,2.491,2.656,0.16,0.31,0.34,0.43,0.37,0.35,0.7708333333333334,750
0.1744186046511628,2.31406975028182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.466,1.362,2.257,2.409,2.808,2.491,2.656,2.810,0.31,0.34,0.43,0.37,0.35,0.34,0.75,750
0.1744186046511628,2.377494278344756,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.362,2.257,2.409,2.808,2.491,2.656,2.810,3.366,0.34,0.43,0.37,0.35,0.34,0.40,0.7291666666666666,750
0.1744186046511628,2.4575402559686053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.257,2.409,2.808,2.491,2.656,2.810,3.366,3.200,0.43,0.37,0.35,0.34,0.40,0.38,0.7083333333333334,750
0.1744186046511628,2.578107084624569,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.409,2.808,2.491,2.656,2.810,3.366,3.200,2.794,0.37,0.35,0.34,0.40,0.38,0.42,0.6875,1850
0.43023255813953487,2.4278027490517538,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.808,2.491,2.656,2.810,3.366,3.200,2.794,5.503,0.35,0.34,0.40,0.38,0.42,0.80,0.6666666666666666,1850
0.43023255813953487,2.151895377655769,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.491,2.656,2.810,3.366,3.200,2.794,5.503,6.759,0.34,0.40,0.38,0.42,0.80,0.90,0.6458333333333334,1850
0.43023255813953487,1.4752711162684735,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.656,2.810,3.366,3.200,2.794,5.503,6.759,10.766,0.40,0.38,0.42,0.80,0.90,0.94,0.625,750
0.1744186046511628,1.653265444929317,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.810,3.366,3.200,2.794,5.503,6.759,10.766,2.220,0.38,0.42,0.80,0.90,0.94,0.36,0.6041666666666666,750
0.1744186046511628,1.8936263704182419,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,3.366,3.200,2.794,5.503,6.759,10.766,2.220,1.596,0.42,0.80,0.90,0.94,0.36,0.40,0.5833333333333334,1850
0.43023255813953487,1.8666382343856818,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,3.200,2.794,5.503,6.759,10.766,2.220,1.596,4.270,0.80,0.90,0.94,0.36,0.40,0.90,0.5625,1850
0.43023255813953487,1.364702380716936,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,2.794,5.503,6.759,10.766,2.220,1.596,4.270,9.019,0.90,0.94,0.36,0.40,0.90,0.87,0.5416666666666666,750
0.1744186046511628,1.5660555804329106,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.002,5.503,6.759,10.766,2.220,1.596,4.270,9.019,1.986,0.94,0.36,0.40,0.90,0.87,0.39,0.5208333333333334,750
0.1744186046511628,1.779211591200315,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,6.759,10.766,2.220,1.596,4.270,9.019,1.986,1.868,0.36,0.40,0.90,0.87,0.39,0.39,0.5,1850
